title,release_date
Grave of the Fireflies,1988-04-16
Cinema Paradiso,1988-11-17
Once Upon a Time in America,1984-05-23
The Empire Strikes Back,1980-05-20
Back to the Future,1985-07-03
Dead Poets Society,1989-06-02
Come and See,1985-10-17
The Shining,1980-05-23
Scarface,1983-12-09
Full Metal Jacket,1987-06-26
"Paris, Texas",1984-07-16
Das Boot,1981-09-17
Ran,1985-06-01
My Neighbor Totoro,1988-04-10
The Thing,1982-06-25
The Elephant Man,1980-10-09
Amadeus,1984-09-19
Castle in the Sky,1986-08-02
Pink Floyd: The Wall,1982-07-14
Akira,1988-06-10
Aliens,1986-07-18
Nausicaä of the Valley of the Wind,1984-03-11
Blade Runner,1982-06-25
Raging Bull,1980-11-14
Raiders of the Lost Ark,1981-06-12
Return of the Jedi,1983-05-25
Stand by Me,1986-08-08
Indiana Jones and the Last Crusade,1989-05-24
Kiki's Delivery Service,1989-07-29
The King of Comedy,1982-12-18
Die Hard,1988-07-15
The Untouchables,1987-06-03
Back to the Future Part II,1989-11-22
Wings of Desire,1987-09-23
Rain Man,1988-12-12
Do the Right Thing,1989-06-14
The Color Purple,1985-12-18
Nothing Left to Do But Cry,1984-12-20
The Breakfast Club,1985-02-15
Platoon,1986-12-19
The Blues Brothers,1980-06-16
The Princess Bride,1987-09-25
Mississippi Burning,1988-12-08
Brazil,1985-02-20
The Terminator,1984-10-26
The Last Emperor,1987-10-04
Blue Velvet,1986-09-19
Ferris Bueller's Day Off,1986-06-11
Gandhi,1982-12-01
Evil Dead II,1987-03-13
Predator,1987-06-12
Who Framed Roger Rabbit,1988-06-21
E.T. the Extra-Terrestrial,1982-06-11
Empire of the Sun,1987-12-09
The Goonies,1985-06-07
Hannah and Her Sisters,1986-02-07
First Blood,1982-10-22
Ghostbusters,1984-06-08
The Name of the Rose,1986-09-24
After Hours,1985-08-16
Glory,1989-12-15
The Big Blue,1988-05-10
Star Trek II: The Wrath of Khan,1982-06-04
This Is Spinal Tap,1984-03-02
When Harry Met Sally...,1989-07-21
The Fly,1986-08-15
An American Werewolf in London,1981-08-21
Mad Max 2,1981-12-24
The Mission,1986-09-24
The Purple Rose of Cairo,1985-03-01
Beetlejuice,1988-03-30
Blow Out,1981-07-24
The Little Mermaid,1989-11-17
The Abyss,1989-08-09
A Nightmare on Elm Street,1984-10-31
Dirty Dancing,1987-08-21
Possession,1981-05-27
RoboCop,1987-07-17
Monty Python's The Meaning of Life,1983-03-31
Christiane F.,1981-04-02
"Good Morning, Vietnam",1987-12-23
Heathers,1989-03-31
Indiana Jones and the Temple of Doom,1984-05-23
Airplane!,1980-07-02
The Evil Dead,1981-09-10
They Live,1988-11-04
Lethal Weapon,1987-03-06
Labyrinth,1986-06-27
Videodrome,1983-02-04
A Christmas Story,1983-11-18
The Naked Gun: From the Files of Police Squad!,1988-12-02
Blood Simple,1985-01-18
The Last Temptation of Christ,1988-05-28
"Planes, Trains and Automobiles",1987-11-26
The Gods Must Be Crazy,1980-09-10
Driving Miss Daisy,1989-12-13
National Lampoon's Christmas Vacation,1989-11-30
Batman,1989-06-21
Clue,1985-12-13
Trading Places,1983-06-07
Tootsie,1982-12-17
The Outsiders,1983-03-25
Big Trouble in Little China,1986-05-30
A Fish Called Wanda,1988-07-15
Dangerous Liaisons,1988-12-21
The NeverEnding Story,1984-04-06
Midnight Run,1988-07-20
Beverly Hills Cop,1984-12-05
The Karate Kid,1984-06-22
Out of Africa,1985-12-20
Big,1988-06-03
Wall Street,1987-12-10
Pale Rider,1985-06-28
Poltergeist,1982-06-04
The Fox and the Hound,1981-07-10
The Land Before Time,1988-11-18
Star Trek IV: The Voyage Home,1986-11-26
The Return of the Living Dead,1985-04-25
Angel Heart,1987-03-06
National Lampoon's Vacation,1983-07-29
The Dark Crystal,1982-12-17
Field of Dreams,1989-04-21
Gremlins,1984-06-08
Witness,1985-02-08
Top Secret!,1984-06-08
Rocky IV,1985-11-21
The Lost Boys,1987-07-31
WarGames,1983-06-03
Escape from New York,1981-05-23
The Great Mouse Detective,1986-07-02
Top Gun,1986-05-16
Raising Arizona,1987-03-13
Re-Animator,1985-10-18
Day of the Dead,1985-07-03
Fright Night,1985-08-02
Bloodsport,1988-02-26
Ladyhawke,1985-03-27
The Dead Zone,1983-10-21
Manhunter,1986-08-14
Willow,1988-05-20
Lethal Weapon 2,1989-07-07
An Officer and a Gentleman,1982-07-28
Born on the Fourth of July,1989-12-20
Creepshow,1982-11-10
Little Shop of Horrors,1986-12-19
Rocky III,1982-05-28
Highlander,1986-03-07
The War of the Roses,1989-12-08
Coming to America,1988-06-29
Hellraiser,1987-09-11
The Color of Money,1986-10-17
Heartbreak Ridge,1986-12-05
Bill & Ted's Excellent Adventure,1989-02-17
Christine,1983-12-09
Spaceballs,1987-06-24
Fatal Attraction,1987-09-18
