title,release_date,id,imdb_id
Deadpool & Wolverine,2024-07-24,533535,tt6263850
Inside Out 2,2024-06-11,1022789,tt22022452
Borderlands,2024-08-07,365177,tt4978420
Despicable Me 4,2024-06-20,519182,tt7510222
Trap,2024-07-31,1032823,tt26753003
Bad Boys: Ride or Die,2024-06-05,573435,tt4919268
Twisters,2024-07-10,718821,tt12584954
The Union,2024-08-15,704239,tt12610390
The Killer,2024-08-22,970347,tt1121948
Kill,2024-07-03,1160018,tt28259207
Alien: Romulus,2024-08-13,945961,tt18412256
It Ends with Us,2024-08-07,1079091,tt10655524
Darkness of Man,2024-05-07,1049574,tt23173980
Longlegs,2024-07-10,1226578,tt23468450
Jackpot!,2024-08-13,1094138,tt26940324
Saving Bikini Bottom: The Sandy Cheeks Movie,2024-08-01,831815,tt23063732
A Quiet Place: Day One,2024-06-26,762441,tt13433802
Prey,2024-03-15,1129598,tt27682129
The Garfield Movie,2024-04-30,748783,tt5779228
Kingdom of the Planet of the Apes,2024-05-08,653346,tt11389872
The Instigators,2024-08-02,1059064,tt24169886
Furiosa: A Mad Max Saga,2024-05-22,786892,tt12037194
Mayhem!,2023-06-28,959092,tt19319352
One Fast Move,2024-08-07,1281826,tt21096576
Godzilla x Kong: The New Empire,2024-03-27,823464,tt14539740
Civil War,2024-04-10,929590,tt17279496
Descendants: The Rise of Red,2024-07-11,974262,tt20202136
My Fault,2023-06-08,1010581,tt21909764
Pleasure,2021-10-08,592695,tt8550054
Kung Fu Panda 4,2024-03-02,1011985,tt21692408
Dune: Part Two,2024-02-27,693134,tt15239678
Justice League: Crisis on Infinite Earths Part Three,2024-07-15,1209290,tt30150917
The Ministry of Ungentlemanly Warfare,2024-04-18,799583,tt5177120
Oddity,2024-07-19,1216191,tt26470109
Something in the Water,2024-03-22,804616,tt22863968
Beautiful Wedding,2024-01-24,1096342,tt26546123
Migration,2023-12-06,940551,tt6495056
The Exorcism,2024-05-30,646683,tt11240348
The Deliverance,2024-08-16,930600,tt4196566
My Spy The Eternal City,2024-07-18,1048241,tt12930350
Kinds of Kindness,2024-05-30,1029955,tt22408160
Incoming,2024-08-22,1008953,tt21284218
Under Paris,2024-06-04,1001311,tt13964390
Sonic the Hedgehog 2,2022-03-30,675353,tt12412888
Spider-Man: No Way Home,2021-12-15,634649,tt10872600
MaXXXine,2024-07-04,1023922,tt22048412
The Fall Guy,2024-04-24,746036,tt1684562
Fly Me to the Moon,2024-07-10,956842,tt1896747
Transformers: Rise of the Beasts,2023-06-06,667538,tt5090568
Spider-Man: Across the Spider-Verse,2023-05-31,569094,tt9362722
The Watchers,2024-06-06,1086747,tt26736843
John Wick: Chapter 4,2023-03-22,603692,tt10366206
Beverly Hills Cop: Axel F,2024-06-20,280180,tt3083016
Fast X,2023-05-17,385687,tt5433140
The Super Mario Bros. Movie,2023-04-05,502356,tt6718170
Alice in Terrorland,2023-12-26,1174618,tt22398528
The Marvels,2023-11-08,609681,tt10676048
"Miraculous World: Paris, Tales of Shadybug and Claw Noir",2023-10-21,1147400,tt29259099
Late Night with the Devil,2024-03-19,938614,tt14966898
Alienoid,2022-07-20,601796,tt20168564
Land of Bad,2024-01-25,969492,tt19864802
The Roundup: No Way Out,2023-05-31,955555,tt21364552
IF,2024-05-08,639720,tt11152168
Puss in Boots: The Last Wish,2022-12-07,315162,tt3915174
Tarot,2024-05-01,719221,tt14088510
Atlas,2024-05-23,614933,tt14856980
Road House,2024-03-08,359410,tt3359350
Trigger Warning,2024-06-20,704673,tt5834874
The Strangers: Chapter 1,2024-05-15,1010600,tt22050754
Evil Does Not Exist,2023-12-06,1156125,tt28490044
Godzilla Minus One,2023-11-03,940721,tt23289160
Oppenheimer,2023-07-19,872585,tt15398776
No Way Up,2024-01-18,1096197,tt16253418
Wonka,2023-12-06,787699,tt6166392
MR-9: Do or Die,2023-08-25,1016346,tt9044418
Monkey Man,2024-04-03,560016,tt9214772
365 Days: This Day,2022-04-27,829557,tt12996154
Rebel Moon - Part Two: The Scargiver,2024-04-19,934632,tt23137904
Madame Web,2024-02-14,634492,tt11057302
The Beekeeper,2024-01-08,866398,tt15314262
Horizon: An American Saga – Chapter 1,2024-06-26,932086,tt17505010
Damsel,2024-03-07,763215,tt13452446
Blink Twice,2024-08-21,840705,tt14858658
Wish,2023-11-13,1022796,tt11304740
The Crow,2024-08-21,957452,tt1340094
The Flash,2023-06-13,298618,tt0439572
The Idea of You,2024-05-02,843527,tt9466114
Top Gun: Maverick,2022-05-21,361743,tt1745960
Barbie,2023-07-19,346698,tt1517268
Megamind vs. the Doom Syndicate,2024-03-29,1239251,tt31122323
Kleks Academy,2024-01-05,1026999,tt20857676
Avatar: The Way of Water,2022-12-14,76600,tt1630029
Anyone But You,2023-12-21,1072790,tt26047818
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023-07-31,614930,tt8589698
Guardians of the Galaxy Vol. 3,2023-05-03,447365,tt6791350
SPY x FAMILY CODE: White,2023-12-22,1062807,tt26684398
Elemental,2023-06-14,976573,tt15789038
The Family Plan,2023-12-14,1029575,tt16431870
Immaculate,2024-03-20,1041613,tt23137390
The Batman,2022-03-01,414906,tt1877830
Trolls Band Together,2023-10-12,901362,tt14362112
Poor Things,2023-12-07,792307,tt14230458
Dune,2021-09-15,438631,tt1160419
The Wages of Fear,2024-03-28,984324,tt27487473
The Boy and the Heron,2023-07-14,508883,tt6587046
The First Omen,2024-04-03,437342,tt5672290
The Equalizer 3,2023-08-30,926393,tt17024450
Ultraman: Rising,2024-06-14,829402,tt9471678
Hit Man,2024-05-16,974635,tt20215968
The Little Mermaid,2023-05-18,447277,tt5971474
Thelma the Unicorn,2024-05-17,739547,tt10442352
Napoleon,2023-11-22,753342,tt13287846
Mission: Impossible - Dead Reckoning Part One,2023-07-08,575264,tt9603212
Doctor Strange in the Multiverse of Madness,2022-05-04,453395,tt9419884
In a Violent Nature,2024-05-31,1214509,tt30321146
Meg 2: The Trench,2023-08-02,615656,tt9224104
Aquaman and the Lost Kingdom,2023-12-20,572802,tt9663764
Five Nights at Freddy's,2023-10-25,507089,tt4589218
Ape vs Mecha Ape,2023-03-24,1094844,tt26785742
Dead Sea,2024-07-26,1308757,tt11724920
