title,release_date
The Shawshank Redemption,1994-09-23
The Godfather,1972-03-14
The Godfather Part II,1974-12-20
Schindler's List,1993-12-15
12 Angry Men,1957-04-10
Spirited Away,2001-07-20
Dilwale Dulhania Le Jayenge,1995-10-20
The Dark Knight,2008-07-16
Parasite,2019-05-30
The Green Mile,1999-12-10
Your Name.,2016-08-26
Pulp Fiction,1994-09-10
The Lord of the Rings: The Return of the King,2003-12-17
Forrest Gump,1994-06-23
GoodFellas,1990-09-12
"The Good, the Bad and the Ugly",1966-12-22
Seven Samurai,1954-04-26
Grave of the Fireflies,1988-04-16
Life Is Beautiful,1997-12-20
Cinema Paradiso,1988-11-17
Interstellar,2014-11-05
Fight Club,1999-10-15
Psycho,1960-06-22
City of God,2002-08-30
One Flew Over the Cuckoo's Nest,1975-11-19
Gabriel's Inferno,2020-05-29
Once Upon a Time in America,1984-05-23
The Lord of the Rings: The Fellowship of the Ring,2001-12-18
Howl's Moving Castle,2004-09-09
Spider-Man: Into the Spider-Verse,2018-12-06
A Dog's Will,2000-09-15
The Lord of the Rings: The Two Towers,2002-12-18
Gabriel's Inferno: Part II,2020-07-31
The Empire Strikes Back,1980-05-20
Gabriel's Inferno: Part III,2020-11-19
Whiplash,2014-10-10
The Pianist,2002-09-17
A Silent Voice: The Movie,2016-09-17
Se7en,1995-09-22
Inception,2010-07-15
Spider-Man: Across the Spider-Verse,2023-05-31
Rear Window,1954-08-01
The Silence of the Lambs,1991-02-14
American History X,1998-07-01
Princess Mononoke,1997-07-12
Hotarubi no Mori e,2011-09-17
Back to the Future,1985-07-03
The Great Dictator,1940-10-15
Dead Poets Society,1989-06-02
Perfect Blue,1998-02-28
Sunset Boulevard,1950-08-10
Léon: The Professional,1994-09-14
Neon Genesis Evangelion: The End of Evangelion,1997-07-19
One Direction: This Is Us,2013-08-28
Ikiru,1952-10-09
Modern Times,1936-02-05
Once Upon a Time in the West,1968-12-21
City Lights,1931-02-06
The Intouchables,2011-11-02
Apocalypse Now,1979-08-15
It's a Wonderful Life,1946-12-20
Paths of Glory,1957-10-25
Five Feet Apart,2019-03-14
Miracle in Cell No. 7,2019-10-10
The Legend of 1900,1998-10-28
Come and See,1985-10-17
Life in a Year,2020-11-27
The Lion King,1994-06-24
Oldboy,2003-11-21
Avengers: Endgame,2019-04-24
Avengers: Infinity War,2018-04-25
Green Book,2018-11-16
Klaus,2019-11-08
Mommy,2014-09-19
Justice League Dark: Apokolips War,2020-05-05
I Want to Eat Your Pancreas,2018-09-01
Wolf Children,2012-07-21
Puss in Boots: The Last Wish,2022-12-07
Wolfwalkers,2020-10-26
The Handmaiden,2016-06-01
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16
Inglourious Basterds,2009-08-02
Saving Private Ryan,1998-07-24
Gladiator,2000-05-04
The Matrix,1999-03-31
Coco,2017-10-27
The Shining,1980-05-23
The Help,2011-08-09
Top Gun: Maverick,2022-05-21
The Apartment,1960-06-21
Witness for the Prosecution,1957-12-17
The Prestige,2006-10-17
Shutter Island,2010-02-14
Star Wars,1977-05-25
Hamilton,2020-07-03
The Art of Racing in the Rain,2019-08-08
Hacksaw Ridge,2016-10-07
A Clockwork Orange,1971-12-19
Bicycle Thieves,1948-07-21
The Seventh Seal,1957-02-16
Persona,1966-10-18
The Usual Suspects,1995-07-19
My Hero Academia: Heroes Rising,2019-12-20
Django Unchained,2012-12-25
The Kid,1921-01-21
Memento,2000-10-11
Tokyo Story,1953-11-03
There's Still Tomorrow,2023-10-26
Vertigo,1958-05-28
Dune: Part Two,2024-02-27
The Departed,2006-10-04
Scarface,1983-12-09
Jujutsu Kaisen 0,2021-12-24
Singin' in the Rain,1952-04-09
Casablanca,1943-01-15
8½,1963-02-14
Joker,2019-10-01
Good Will Hunting,1997-12-05
Capernaum,2018-09-20
Alien,1979-05-25
Togo,2019-12-20
Stalker,1979-05-25
Piper,2016-06-16
Zack Snyder's Justice League,2021-03-18
Taxi Driver,1976-02-09
The Truman Show,1998-06-04
Palmer,2021-01-28
Call Me by Your Name,2017-07-28
Wild Strawberries,1957-08-28
Wonder,2017-11-13
Full Metal Jacket,1987-06-26
Soul,2020-12-25
The Hate U Give,2018-10-19
Reservoir Dogs,1992-09-02
